filename,width,height,class,xmin,ymin,xmax,ymax
location_img-3729-1344949019-148.jpg,1200,630,opera house,267,126,1176,478
opera-house-sunset.jpg,1200,630,opera house,137,98,1048,515
Opera-House-tourism-Pixabay.jpg,750,422,opera house,104,88,680,336
opera-house.jpg,768,432,opera house,84,23,733,275
opera_house_2.jpg,850,424,opera house,130,62,742,303
paris-france-eiffel-tower-597049 (1).jpeg,500,749,eiffel tower,70,9,276,577
paris-france-eiffel-tower-597049.jpeg,500,749,eiffel tower,82,9,278,574
pexels-photo-1060791.jpeg,500,664,eiffel tower,269,38,411,423
pexels-photo-1125212.jpeg,500,750,eiffel tower,220,304,335,528
pexels-photo-1143755.jpeg,500,333,eiffel tower,190,39,276,253
pexels-photo-1287827.jpeg,500,750,eiffel tower,18,8,491,540
pexels-photo-1308940.jpeg,500,333,eiffel tower,221,99,273,202
pexels-photo-1386353.jpeg,500,750,eiffel tower,112,44,409,665
pexels-photo-1391291.jpeg,500,750,eiffel tower,33,138,496,691
pexels-photo-1426719.jpeg,500,667,eiffel tower,164,150,384,615
pexels-photo-1461974.jpeg,500,667,eiffel tower,58,10,416,615
pexels-photo-1488315.jpeg,500,333,eiffel tower,146,2,247,201
pexels-photo-149419.jpeg,500,749,eiffel tower,11,20,496,669
pexels-photo-149522.jpeg,500,281,eiffel tower,3,1,500,276
pexels-photo-1530259.jpeg,500,750,eiffel tower,7,106,500,748
pexels-photo-1582720.jpeg,500,750,eiffel tower,230,7,493,716
pexels-photo-1684913.jpeg,500,667,eiffel tower,222,1,379,330
pexels-photo-1759609.jpeg,500,750,eiffel tower,134,28,352,590
pexels-photo-1759702.jpeg,500,750,eiffel tower,332,191,487,549
pexels-photo-1780838.jpeg,500,667,eiffel tower,54,6,469,663
pexels-photo-1782567.jpeg,500,333,eiffel tower,272,5,446,276
pexels-photo-1796716.jpeg,500,281,eiffel tower,111,2,361,280
pexels-photo-1805139.jpeg,500,333,eiffel tower,111,116,184,276
pexels-photo-1813215.jpeg,500,750,eiffel tower,156,18,351,462
pexels-photo-1813252.jpeg,500,750,eiffel tower,239,32,389,462
pexels-photo-1813265.jpeg,500,750,eiffel tower,130,1,356,416
pexels-photo-1815020.jpeg,500,750,eiffel tower,220,170,333,517
pexels-photo-1815022.jpeg,500,750,eiffel tower,184,123,321,470
pexels-photo-1846538.jpeg,500,750,eiffel tower,144,22,394,555
pexels-photo-1850619.jpeg,500,333,eiffel tower,193,9,260,243
pexels-photo-2035190.jpeg,500,750,eiffel tower,185,112,346,610
pexels-photo-2035193.jpeg,500,333,eiffel tower,187,3,306,320
pexels-photo-2043054.jpeg,500,750,eiffel tower,158,40,345,586
pexels-photo-2043055.jpeg,500,750,eiffel tower,180,42,348,545
pexels-photo-2082103.jpeg,500,333,eiffel tower,195,23,278,238
pexels-photo-2082108.jpeg,500,750,eiffel tower,56,6,291,563
pexels-photo-2098498.jpeg,500,750,eiffel tower,128,16,345,551
pexels-photo-220795.jpeg,500,667,eiffel tower,173,10,364,534
pexels-photo-2260800.jpeg,500,753,eiffel tower,81,60,415,717
pexels-photo-2268841.jpeg,500,700,eiffel tower,171,39,466,507
pexels-photo-2348811.jpeg,500,750,eiffel tower,118,34,354,600
pexels-photo-338515.jpeg,1880,1252,eiffel tower,743,49,1129,987
pexels-photo-342113.jpeg,500,750,eiffel tower,148,69,325,468
pexels-photo-352519.jpeg,500,755,eiffel tower,25,18,500,734
pexels-photo-441585.jpeg,500,783,eiffel tower,99,22,357,701
pexels-photo-460740.jpeg,500,747,eiffel tower,92,21,342,544
pexels-photo-532826.jpeg,500,333,eiffel tower,190,85,299,314
pexels-photo-632363.jpeg,500,750,eiffel tower,152,72,357,575
pexels-photo-67941.jpeg,500,667,eiffel tower,102,71,361,567
pexels-photo-699466.jpeg,500,667,eiffel tower,18,8,488,667
pexels-photo-739407.jpeg,500,333,eiffel tower,187,13,304,315
pexels-photo-818713.jpeg,500,313,eiffel tower,158,7,314,301
pexels-photo-87501.jpeg,500,334,eiffel tower,203,54,295,266
pexels-photo-941416.jpeg,500,750,eiffel tower,185,247,259,381
photo-1445978259239-a6c453c3513a.jpeg,500,258,opera house,47,95,335,204
photo-1447953696461-df240a5320a3.jpeg,500,333,opera house,225,168,415,227
photo-1490443849367-d12c30dbf95c.jpeg,500,319,opera house,90,126,410,265
photo-1493375366763-3ed5e0e6d8ec.jpeg,500,320,opera house,162,67,342,143
photo-1494948141550-221698c089c2.jpeg,500,625,opera house,1,393,493,625
photo-1497338300926-77866091257e.jpeg,500,333,opera house,7,116,456,330
photo-1501413781569-3619a70f207a.jpeg,967,725,opera house,7,100,967,426
photo-1511076674057-13f29c363a43.jpeg,500,333,opera house,30,54,499,332
photo-1515651621401-69b671bdc411.jpeg,500,346,opera house,3,6,496,346
photo-1517775762162-7202e1034d88.jpeg,500,333,opera house,48,45,494,229
photo-1519857655106-8d1b46981a24.jpeg,500,336,opera house,73,99,434,288
photo-1523059623039-a9ed027e7fad.jpeg,500,349,opera house,52,97,475,265
photo-1523353175085-c272f487afbe.jpeg,500,333,opera house,64,14,499,213
photo-1523428096881-5bd79d043006.jpeg,500,333,opera house,19,148,228,231
photo-1523482580672-f109ba8cb9be.jpeg,500,236,opera house,204,84,427,183
photo-1523501554165-c565e1629690.jpeg,500,333,opera house,28,145,195,217
photo-1523829592801-9d3439f6077f.jpeg,500,275,opera house,38,13,492,221
photo-1524293581917-878a6d017c71.jpeg,500,333,opera house,43,79,484,257
photo-1524526034772-a411983adbfb.jpeg,500,336,opera house,179,119,376,203
photo-1526384838411-3d7e474fcfbd.jpeg,500,400,opera house,22,24,500,263
photo-1526467121253-0d2e31577495.jpeg,500,300,opera house,56,101,361,236
photo-1526958977630-bc61b30a2009.jpeg,500,333,opera house,30,46,499,254
photo-1527509798123-439e92d27161.jpeg,500,326,opera house,2,81,499,314
photo-1527915676329-fd5ec8a12d4b.jpeg,500,333,opera house,30,38,483,240
photo-1528019081985-7e010dec3b39.jpeg,500,333,opera house,34,82,491,261
photo-1528072164453-f4e8ef0d475a.jpeg,500,333,opera house,52,85,391,227
photo-1528800223624-764941bb49db.jpeg,500,341,opera house,62,72,469,227
photo-1529964243566-383bdb7291aa.jpeg,500,411,opera house,105,29,444,181
photo-1530427211002-6d6a1bf9d3a5.jpeg,500,958,opera house,28,565,463,772
photo-1532075874492-4dd5f3269c07.jpeg,500,240,opera house,1,1,500,178
photo-1532775581030-505301086e89.jpeg,500,333,opera house,4,5,486,251
photo-1532984601283-d68a3ee3e51f.jpeg,500,235,opera house,32,96,274,169
photo-1533515956211-a8a1a607596e.jpeg,500,333,opera house,3,88,267,242
photo-1533515996442-33e072d45b67.jpeg,500,333,opera house,265,144,425,201
photo-1533719077105-ded526ff7a9a.png,500,625,opera house,7,244,499,467
photo-1534005963481-fddf0ca78e54.jpeg,500,750,opera house,45,430,384,577
photo-1534680554819-83f7124bcfc5.jpeg,500,333,opera house,93,123,464,261
photo-1534767246255-7f29a59c1394 (1).jpeg,500,332,opera house,69,64,468,239
photo-1534767246255-7f29a59c1394.jpeg,500,332,opera house,61,84,469,248
